Id,Time,Machine,Component,Parameter,Value
47,01-05-2022 07:40,Backhoe_Loader_1,Fuel,Water in Fuel,1619.14
48,01-05-2022 07:50,Excavator_1,Fuel,Temparature,85.37
49,01-05-2022 08:00,Excavator_1,Drive,Brake Control,3.92
50,01-05-2022 08:10,Excavator_1,Drive,Transmission Pressure,937.01
51,01-05-2022 08:20,Articulated_Truck_1,Misc,System Voltage,37.31
52,01-05-2022 08:30,Articulated_Truck_1,Fuel,Pressure,133.09
53,01-05-2022 08:40,Backhoe_Loader_1,Fuel,Water in Fuel,4910.64
54,01-05-2022 08:50,Articulated_Truck_1,Fuel,Pressure,17.04
55,01-05-2022 09:00,Backhoe_Loader_1,Misc,Hydraulic Pump Rate,405.25
56,01-05-2022 09:10,Backhoe_Loader_1,Fuel,Water in Fuel,1807.95
57,01-05-2022 09:20,Articulated_Truck_1,Misc,Exhaust Gas Temparature,302.38
58,01-05-2022 09:30,Dozer_1,Misc,System Voltage,66.81
59,01-05-2022 09:40,Backhoe_Loader_1,Misc,Hydraulic Pump Rate,320.56
60,01-05-2022 09:50,Backhoe_Loader_1,Misc,System Voltage,58.44
61,01-05-2022 10:00,Backhoe_Loader_1,Engine,Speed,4414.96
62,01-05-2022 10:10,Dozer_1,Misc,Exhaust Gas Temparature,1534.09
63,01-05-2022 10:20,Articulated_Truck_1,Fuel,Water in Fuel,229.14
64,01-05-2022 10:30,Articulated_Truck_1,Engine,Oil Pressure,108.93
65,01-05-2022 10:40,Backhoe_Loader_1,Drive,Transmission Pressure,1602.92
66,01-05-2022 10:50,Articulated_Truck_1,Fuel,Water in Fuel,4602.13
67,01-05-2022 11:00,Backhoe_Loader_1,Drive,Transmission Pressure,170.17
68,01-05-2022 11:10,Backhoe_Loader_1,Drive,Pedal Sensor,7.43
69,01-05-2022 11:20,Backhoe_Loader_1,Fuel,Level,1.56
70,01-05-2022 11:30,Dozer_1,Fuel,Pressure,39.82
71,01-05-2022 11:40,Excavator_1,Misc,Exhaust Gas Temparature,140.93
72,01-05-2022 11:50,Excavator_1,Fuel,Temparature,704.39
73,01-05-2022 12:00,Backhoe_Loader_1,Drive,Brake Control,3.4
74,01-05-2022 12:10,Articulated_Truck_1,Fuel,Water in Fuel,349.1
75,01-05-2022 12:20,Dozer_1,Misc,Hydraulic Pump Rate,446.31
76,01-05-2022 12:30,Excavator_1,Engine,Temparature,632.84
77,01-05-2022 12:40,Excavator_1,Misc,Air Filter Pressure,16.22
78,01-05-2022 12:50,Excavator_1,Engine,Speed,2497.54
79,01-05-2022 13:00,Backhoe_Loader_1,Misc,Air Filter Pressure,39.05
80,01-05-2022 13:10,Excavator_1,Misc,Hydraulic Pump Rate,157.21
81,01-05-2022 13:20,Excavator_1,Drive,Brake Control,2.0
82,01-05-2022 13:30,Backhoe_Loader_1,Drive,Brake Control,2.17
83,01-05-2022 13:40,Backhoe_Loader_1,Fuel,Pressure,37.84
84,01-05-2022 13:50,Articulated_Truck_1,Fuel,Level,1.81
85,01-05-2022 14:00,Excavator_1,Fuel,Level,1.64
86,01-05-2022 14:10,Dozer_1,Misc,System Voltage,93.63
87,01-05-2022 14:20,Dozer_1,Fuel,Level,0.21
88,01-05-2022 14:30,Articulated_Truck_1,Engine,Speed,3920.81
89,01-05-2022 14:40,Dozer_1,Fuel,Water in Fuel,6612.08
90,01-05-2022 14:50,Dozer_1,Misc,System Voltage,85.91
91,01-05-2022 15:00,Backhoe_Loader_1,Drive,Transmission Pressure,1234.46
92,01-05-2022 15:10,Excavator_1,Fuel,Pressure,140.13
93,01-05-2022 15:20,Articulated_Truck_1,Engine,Speed,2172.03
94,01-05-2022 15:30,Dozer_1,Misc,System Voltage,34.2
95,01-05-2022 15:40,Backhoe_Loader_1,Drive,Brake Control,3.35
96,01-05-2022 15:50,Excavator_1,Fuel,Pressure,13.71
97,01-05-2022 16:00,Excavator_1,Misc,System Voltage,28.46
98,01-05-2022 16:10,Articulated_Truck_1,Misc,Air Filter Pressure,29.53
99,01-05-2022 16:20,Articulated_Truck_1,Misc,System Voltage,4.36
100,01-05-2022 16:30,Articulated_Truck_1,Engine,Speed,4615.33
101,01-05-2022 16:40,Articulated_Truck_1,Drive,Transmission Pressure,1306.89
102,01-05-2022 16:50,Excavator_1,Fuel,Level,0.18
103,01-05-2022 17:00,Excavator_1,Engine,Temparature,548.81
104,01-05-2022 17:10,Excavator_1,Drive,Brake Control,3.22
105,01-05-2022 17:20,Articulated_Truck_1,Engine,Oil Pressure,60.1
106,01-05-2022 17:30,Articulated_Truck_1,Drive,Transmission Pressure,384.06
107,01-05-2022 17:40,Excavator_1,Misc,Air Filter Pressure,29.53
108,01-05-2022 17:50,Excavator_1,Fuel,Level,0.26
109,01-05-2022 18:00,Backhoe_Loader_1,Drive,Brake Control,3.22
110,01-05-2022 18:10,Dozer_1,Misc,Exhaust Gas Temparature,1995.6
111,01-05-2022 18:20,Backhoe_Loader_1,Misc,Air Filter Pressure,31.08
112,01-05-2022 18:30,Dozer_1,Misc,Air Filter Pressure,12.64
113,01-05-2022 18:40,Dozer_1,Drive,Transmission Pressure,1312.93
114,01-05-2022 18:50,Backhoe_Loader_1,Misc,Hydraulic Pump Rate,414.32
115,01-05-2022 19:00,Articulated_Truck_1,Misc,Exhaust Gas Temparature,656.14
116,01-05-2022 19:10,Excavator_1,Drive,Pedal Sensor,1.66
117,01-05-2022 19:20,Backhoe_Loader_1,Engine,Temparature,634.46
118,01-05-2022 19:30,Backhoe_Loader_1,Fuel,Pressure,126.23
119,01-05-2022 19:40,Backhoe_Loader_1,Fuel,Pressure,185.53
120,01-05-2022 19:50,Articulated_Truck_1,Drive,Pedal Sensor,27.89
121,01-05-2022 20:00,Articulated_Truck_1,Engine,Oil Pressure,106.47
122,01-05-2022 20:10,Excavator_1,Engine,Speed,610.22
123,01-05-2022 20:20,Excavator_1,Misc,System Voltage,14.0
124,01-05-2022 20:30,Excavator_1,Misc,Air Filter Pressure,31.31
125,01-05-2022 20:40,Excavator_1,Drive,Brake Control,2.66
126,01-05-2022 20:50,Excavator_1,Engine,Oil Pressure,65.84
127,01-05-2022 21:00,Backhoe_Loader_1,Engine,Oil Pressure,65.45
128,01-05-2022 21:10,Dozer_1,Misc,Air Filter Pressure,9.73
129,01-05-2022 21:20,Dozer_1,Engine,Oil Pressure,8.59
130,01-05-2022 21:30,Articulated_Truck_1,Drive,Pedal Sensor,20.47
131,01-05-2022 21:40,Dozer_1,Engine,Temparature,288.25
132,01-05-2022 21:50,Excavator_1,Drive,Pedal Sensor,12.4
133,01-05-2022 22:00,Dozer_1,Misc,Air Filter Pressure,14.62
134,01-05-2022 22:10,Backhoe_Loader_1,Engine,Temparature,648.29
135,01-05-2022 22:20,Dozer_1,Engine,Speed,2270.01
136,01-05-2022 22:30,Excavator_1,Engine,Oil Pressure,32.81
137,01-05-2022 22:40,Articulated_Truck_1,Misc,Hydraulic Pump Rate,419.02
138,01-05-2022 22:50,Dozer_1,Fuel,Temparature,371.17
139,01-05-2022 23:00,Backhoe_Loader_1,Engine,Oil Pressure,39.86
140,01-05-2022 23:10,Articulated_Truck_1,Misc,Air Filter Pressure,1.45
141,01-05-2022 23:20,Backhoe_Loader_1,Misc,Air Filter Pressure,19.87
142,01-05-2022 23:30,Backhoe_Loader_1,Misc,Hydraulic Pump Rate,222.94
143,01-05-2022 23:40,Dozer_1,Engine,Speed,6350.2
144,01-05-2022 23:50,Articulated_Truck_1,Engine,Oil Pressure,111.22
145,02-05-2022 00:00,Backhoe_Loader_1,Misc,Exhaust Gas Temparature,1012.33
146,02-05-2022 00:10,Backhoe_Loader_1,Engine,Temparature,127.46
147,02-05-2022 00:20,Backhoe_Loader_1,Misc,Exhaust Gas Temparature,1256.28
148,02-05-2022 00:30,Dozer_1,Misc,Air Filter Pressure,37.67
149,02-05-2022 00:40,Dozer_1,Fuel,Temparature,637.4
150,02-05-2022 00:50,Dozer_1,Drive,Transmission Pressure,1839.34
151,02-05-2022 01:00,Backhoe_Loader_1,Drive,Pedal Sensor,13.6
152,02-05-2022 01:10,Backhoe_Loader_1,Engine,Oil Pressure,102.09
153,02-05-2022 01:20,Excavator_1,Misc,System Voltage,9.68
154,02-05-2022 01:30,Dozer_1,Engine,Oil Pressure,128.71
155,02-05-2022 01:40,Excavator_1,Engine,Temparature,604.94
156,02-05-2022 01:50,Excavator_1,Drive,Transmission Pressure,1760.64
157,02-05-2022 02:00,Backhoe_Loader_1,Engine,Oil Pressure,65.87
158,02-05-2022 02:10,Excavator_1,Engine,Temparature,596.36
159,02-05-2022 02:20,Excavator_1,Drive,Pedal Sensor,13.41
160,02-05-2022 02:30,Articulated_Truck_1,Engine,Speed,219.02
161,02-05-2022 02:40,Excavator_1,Engine,Oil Pressure,6.94
162,02-05-2022 02:50,Dozer_1,Fuel,Temparature,207.37
163,02-05-2022 03:00,Backhoe_Loader_1,Misc,Hydraulic Pump Rate,415.25
164,02-05-2022 03:10,Dozer_1,Engine,Speed,4527.41
165,02-05-2022 03:20,Articulated_Truck_1,Fuel,Pressure,122.64
166,02-05-2022 03:30,Excavator_1,Drive,Brake Control,3.04
167,02-05-2022 03:40,Backhoe_Loader_1,Fuel,Temparature,545.88
168,02-05-2022 03:50,Dozer_1,Drive,Brake Control,0.12
169,02-05-2022 04:00,Articulated_Truck_1,Drive,Brake Control,0.26
170,02-05-2022 04:10,Dozer_1,Misc,Air Filter Pressure,10.85
171,02-05-2022 04:20,Excavator_1,Misc,Air Filter Pressure,4.19
172,02-05-2022 04:30,Backhoe_Loader_1,Drive,Pedal Sensor,26.72
173,02-05-2022 04:40,Dozer_1,Misc,Air Filter Pressure,36.83
174,02-05-2022 04:50,Backhoe_Loader_1,Engine,Oil Pressure,134.14
175,02-05-2022 05:00,Articulated_Truck_1,Drive,Brake Control,2.73
176,02-05-2022 05:10,Backhoe_Loader_1,Engine,Oil Pressure,12.01
177,02-05-2022 05:20,Dozer_1,Engine,Oil Pressure,111.29
178,02-05-2022 05:30,Backhoe_Loader_1,Drive,Brake Control,2.18
179,02-05-2022 05:40,Backhoe_Loader_1,Drive,Transmission Pressure,1549.39
180,02-05-2022 05:50,Excavator_1,Misc,Hydraulic Pump Rate,175.56
181,02-05-2022 06:00,Dozer_1,Fuel,Temparature,649.44
182,02-05-2022 06:10,Excavator_1,Engine,Temparature,620.91
183,02-05-2022 06:20,Articulated_Truck_1,Drive,Transmission Pressure,676.55
184,02-05-2022 06:30,Dozer_1,Drive,Pedal Sensor,10.41
185,02-05-2022 06:40,Articulated_Truck_1,Engine,Oil Pressure,135.27
186,02-05-2022 06:50,Excavator_1,Drive,Transmission Pressure,194.25
187,02-05-2022 07:00,Dozer_1,Engine,Oil Pressure,10.05
188,02-05-2022 07:10,Articulated_Truck_1,Misc,Exhaust Gas Temparature,535.57
189,02-05-2022 07:20,Articulated_Truck_1,Drive,Transmission Pressure,1504.44
190,02-05-2022 07:30,Excavator_1,Drive,Transmission Pressure,24.24
191,02-05-2022 07:40,Dozer_1,Drive,Pedal Sensor,25.6
192,02-05-2022 07:50,Backhoe_Loader_1,Drive,Transmission Pressure,1734.06
193,02-05-2022 08:00,Dozer_1,Drive,Brake Control,2.8
194,02-05-2022 08:10,Backhoe_Loader_1,Drive,Brake Control,1.55
195,02-05-2022 08:20,Dozer_1,Fuel,Water in Fuel,6881.61
196,02-05-2022 08:30,Articulated_Truck_1,Fuel,Water in Fuel,2833.56
197,02-05-2022 08:40,Excavator_1,Engine,Speed,2187.35
198,02-05-2022 08:50,Backhoe_Loader_1,Drive,Pedal Sensor,18.32
199,02-05-2022 09:00,Backhoe_Loader_1,Fuel,Pressure,51.92
200,02-05-2022 09:10,Dozer_1,Engine,Temparature,600.07
201,02-05-2022 09:20,Excavator_1,Drive,Brake Control,3.78
202,02-05-2022 09:30,Articulated_Truck_1,Fuel,Pressure,151.38
203,02-05-2022 09:40,Excavator_1,Fuel,Pressure,128.48
204,02-05-2022 09:50,Dozer_1,Misc,Air Filter Pressure,33.96
205,02-05-2022 10:00,Dozer_1,Misc,System Voltage,64.77
206,02-05-2022 10:10,Backhoe_Loader_1,Drive,Brake Control,2.72
207,02-05-2022 10:20,Backhoe_Loader_1,Misc,System Voltage,18.82
208,02-05-2022 10:30,Excavator_1,Engine,Speed,5941.71
209,02-05-2022 10:40,Articulated_Truck_1,Fuel,Water in Fuel,6021.71
210,02-05-2022 10:50,Excavator_1,Misc,System Voltage,67.78
211,02-05-2022 11:00,Articulated_Truck_1,Engine,Temparature,210.01
212,02-05-2022 11:10,Articulated_Truck_1,Fuel,Level,4.74
213,02-05-2022 11:20,Excavator_1,Engine,Temparature,31.29
214,02-05-2022 11:30,Dozer_1,Misc,Air Filter Pressure,33.81
215,02-05-2022 11:40,Dozer_1,Drive,Pedal Sensor,29.11
216,02-05-2022 11:50,Dozer_1,Engine,Temparature,605.5
217,02-05-2022 12:00,Backhoe_Loader_1,Drive,Transmission Pressure,481.58
218,02-05-2022 12:10,Articulated_Truck_1,Engine,Speed,4875.69
219,02-05-2022 12:20,Excavator_1,Engine,Temparature,291.18
220,02-05-2022 12:30,Backhoe_Loader_1,Engine,Speed,5402.47
221,02-05-2022 12:40,Dozer_1,Misc,System Voltage,65.96
222,02-05-2022 12:50,Dozer_1,Misc,Air Filter Pressure,21.38
223,02-05-2022 13:00,Dozer_1,Misc,Exhaust Gas Temparature,348.21
224,02-05-2022 13:10,Articulated_Truck_1,Engine,Oil Pressure,77.73
225,02-05-2022 13:20,Backhoe_Loader_1,Engine,Temparature,798.03
226,02-05-2022 13:30,Articulated_Truck_1,Fuel,Pressure,49.22
227,02-05-2022 13:40,Dozer_1,Misc,Air Filter Pressure,14.86
228,02-05-2022 13:50,Dozer_1,Engine,Oil Pressure,16.55
229,02-05-2022 14:00,Backhoe_Loader_1,Engine,Temparature,387.66
230,02-05-2022 14:10,Dozer_1,Misc,Air Filter Pressure,15.42
231,02-05-2022 14:20,Backhoe_Loader_1,Engine,Speed,433.95
232,02-05-2022 14:30,Excavator_1,Drive,Transmission Pressure,88.59
233,02-05-2022 14:40,Dozer_1,Misc,System Voltage,92.76
234,02-05-2022 14:50,Backhoe_Loader_1,Drive,Brake Control,2.43
235,02-05-2022 15:00,Backhoe_Loader_1,Engine,Temparature,520.98
236,02-05-2022 15:10,Excavator_1,Engine,Temparature,409.78
237,02-05-2022 15:20,Articulated_Truck_1,Fuel,Pressure,129.39
238,02-05-2022 15:30,Dozer_1,Fuel,Water in Fuel,2926.08
239,02-05-2022 15:40,Articulated_Truck_1,Fuel,Level,2.38
240,02-05-2022 15:50,Excavator_1,Engine,Oil Pressure,121.15
241,02-05-2022 16:00,Dozer_1,Engine,Temparature,378.45
242,02-05-2022 16:10,Dozer_1,Fuel,Water in Fuel,5900.26
243,02-05-2022 16:20,Excavator_1,Misc,Air Filter Pressure,1.28
244,02-05-2022 16:30,Excavator_1,Drive,Brake Control,3.59
245,02-05-2022 16:40,Articulated_Truck_1,Drive,Brake Control,3.04
246,02-05-2022 16:50,Excavator_1,Engine,Temparature,103.6
247,02-05-2022 17:00,Excavator_1,Misc,Hydraulic Pump Rate,315.8
248,02-05-2022 17:10,Dozer_1,Fuel,Water in Fuel,390.82
249,02-05-2022 17:20,Dozer_1,Engine,Speed,2586.12
250,02-05-2022 17:30,Articulated_Truck_1,Engine,Oil Pressure,111.32
251,02-05-2022 17:40,Dozer_1,Misc,Exhaust Gas Temparature,185.54
252,02-05-2022 17:50,Dozer_1,Fuel,Level,0.82
253,02-05-2022 18:00,Dozer_1,Drive,Pedal Sensor,24.72
254,02-05-2022 18:10,Dozer_1,Drive,Pedal Sensor,16.29
255,02-05-2022 18:20,Excavator_1,Misc,Air Filter Pressure,21.17
256,02-05-2022 18:30,Excavator_1,Drive,Transmission Pressure,553.4
257,02-05-2022 18:40,Backhoe_Loader_1,Misc,Air Filter Pressure,28.08
258,02-05-2022 18:50,Dozer_1,Fuel,Water in Fuel,6433.54
259,02-05-2022 19:00,Backhoe_Loader_1,Misc,Air Filter Pressure,10.92
260,02-05-2022 19:10,Dozer_1,Engine,Speed,3470.81
261,02-05-2022 19:20,Dozer_1,Engine,Speed,4889.9
262,02-05-2022 19:30,Dozer_1,Fuel,Level,2.04
263,02-05-2022 19:40,Articulated_Truck_1,Fuel,Temparature,20.39
264,02-05-2022 19:50,Excavator_1,Engine,Speed,464.0
265,02-05-2022 20:00,Articulated_Truck_1,Engine,Speed,5661.91
266,02-05-2022 20:10,Excavator_1,Misc,Hydraulic Pump Rate,61.08
267,02-05-2022 20:20,Articulated_Truck_1,Fuel,Pressure,150.92
268,02-05-2022 20:30,Backhoe_Loader_1,Fuel,Water in Fuel,4168.53
269,02-05-2022 20:40,Dozer_1,Engine,Temparature,224.96
270,02-05-2022 20:50,Articulated_Truck_1,Fuel,Water in Fuel,4381.3
271,02-05-2022 21:00,Excavator_1,Drive,Brake Control,2.32
272,02-05-2022 21:10,Backhoe_Loader_1,Fuel,Pressure,13.72
273,02-05-2022 21:20,Excavator_1,Engine,Speed,5546.51
274,02-05-2022 21:30,Backhoe_Loader_1,Fuel,Pressure,28.32
275,02-05-2022 21:40,Articulated_Truck_1,Drive,Pedal Sensor,26.24
276,02-05-2022 21:50,Articulated_Truck_1,Misc,System Voltage,15.78
277,02-05-2022 22:00,Dozer_1,Misc,Exhaust Gas Temparature,1284.22
278,02-05-2022 22:10,Backhoe_Loader_1,Drive,Pedal Sensor,16.15
279,02-05-2022 22:20,Backhoe_Loader_1,Misc,System Voltage,65.77
280,02-05-2022 22:30,Backhoe_Loader_1,Fuel,Level,0.52
281,02-05-2022 22:40,Excavator_1,Misc,System Voltage,76.02
282,02-05-2022 22:50,Dozer_1,Drive,Transmission Pressure,1673.14
283,02-05-2022 23:00,Articulated_Truck_1,Fuel,Pressure,75.08
284,02-05-2022 23:10,Backhoe_Loader_1,Drive,Pedal Sensor,0.62
285,02-05-2022 23:20,Excavator_1,Engine,Temparature,780.42
286,02-05-2022 23:30,Excavator_1,Misc,System Voltage,94.14
287,02-05-2022 23:40,Backhoe_Loader_1,Engine,Oil Pressure,37.97
288,02-05-2022 23:50,Backhoe_Loader_1,Fuel,Temparature,365.39
289,03-05-2022 00:00,Backhoe_Loader_1,Drive,Brake Control,1.15
290,03-05-2022 00:10,Backhoe_Loader_1,Engine,Speed,1135.69
291,03-05-2022 00:20,Articulated_Truck_1,Misc,Hydraulic Pump Rate,401.22
292,03-05-2022 00:30,Dozer_1,Misc,Exhaust Gas Temparature,1242.44
293,03-05-2022 00:40,Excavator_1,Fuel,Water in Fuel,1689.51
294,03-05-2022 00:50,Backhoe_Loader_1,Misc,Air Filter Pressure,20.8
295,03-05-2022 01:00,Articulated_Truck_1,Drive,Brake Control,1.05
296,03-05-2022 01:10,Excavator_1,Fuel,Pressure,12.57
297,03-05-2022 01:20,Backhoe_Loader_1,Fuel,Pressure,46.4
298,03-05-2022 01:30,Dozer_1,Misc,System Voltage,90.07
299,03-05-2022 01:40,Dozer_1,Drive,Brake Control,3.29
300,03-05-2022 01:50,Articulated_Truck_1,Drive,Brake Control,1.66
301,03-05-2022 02:00,Articulated_Truck_1,Misc,Hydraulic Pump Rate,90.11
302,03-05-2022 02:10,Backhoe_Loader_1,Misc,System Voltage,83.76
303,03-05-2022 02:20,Dozer_1,Misc,Exhaust Gas Temparature,1114.74
304,03-05-2022 02:30,Articulated_Truck_1,Misc,Air Filter Pressure,30.34
305,03-05-2022 02:40,Dozer_1,Engine,Speed,3201.03
306,03-05-2022 02:50,Excavator_1,Fuel,Pressure,185.98
307,03-05-2022 03:00,Excavator_1,Engine,Oil Pressure,143.51
308,03-05-2022 03:10,Backhoe_Loader_1,Misc,Hydraulic Pump Rate,294.77
309,03-05-2022 03:20,Dozer_1,Fuel,Level,4.8
310,03-05-2022 03:30,Dozer_1,Fuel,Temparature,592.89
311,03-05-2022 03:40,Dozer_1,Engine,Temparature,231.73
312,03-05-2022 03:50,Excavator_1,Drive,Transmission Pressure,1901.17
313,03-05-2022 04:00,Excavator_1,Fuel,Temparature,195.43
314,03-05-2022 04:10,Backhoe_Loader_1,Engine,Temparature,79.41
315,03-05-2022 04:20,Articulated_Truck_1,Engine,Speed,3254.14
316,03-05-2022 04:30,Articulated_Truck_1,Drive,Brake Control,0.25
317,03-05-2022 04:40,Articulated_Truck_1,Fuel,Level,4.75
318,03-05-2022 04:50,Excavator_1,Fuel,Pressure,140.99
319,03-05-2022 05:00,Articulated_Truck_1,Engine,Oil Pressure,72.5
320,03-05-2022 05:10,Articulated_Truck_1,Drive,Brake Control,1.76
321,03-05-2022 05:20,Articulated_Truck_1,Fuel,Temparature,107.28
322,03-05-2022 05:30,Dozer_1,Drive,Transmission Pressure,367.98
323,03-05-2022 05:40,Articulated_Truck_1,Drive,Pedal Sensor,10.05
324,03-05-2022 05:50,Articulated_Truck_1,Fuel,Level,2.05
325,03-05-2022 06:00,Articulated_Truck_1,Drive,Transmission Pressure,143.03
326,03-05-2022 06:10,Articulated_Truck_1,Engine,Oil Pressure,67.79
327,03-05-2022 06:20,Backhoe_Loader_1,Misc,Hydraulic Pump Rate,368.37
328,03-05-2022 06:30,Backhoe_Loader_1,Misc,Hydraulic Pump Rate,307.59
329,03-05-2022 06:40,Excavator_1,Misc,System Voltage,49.12
330,03-05-2022 06:50,Articulated_Truck_1,Misc,Air Filter Pressure,39.35
331,03-05-2022 07:00,Backhoe_Loader_1,Engine,Oil Pressure,115.51
332,03-05-2022 07:10,Dozer_1,Misc,System Voltage,20.29
333,03-05-2022 07:20,Excavator_1,Fuel,Water in Fuel,744.25
334,03-05-2022 07:30,Articulated_Truck_1,Misc,Exhaust Gas Temparature,193.87
335,03-05-2022 07:40,Dozer_1,Drive,Brake Control,2.75
336,03-05-2022 07:50,Backhoe_Loader_1,Fuel,Level,4.17
337,03-05-2022 08:00,Dozer_1,Misc,Hydraulic Pump Rate,204.01
338,03-05-2022 08:10,Backhoe_Loader_1,Misc,Hydraulic Pump Rate,431.95
339,03-05-2022 08:20,Articulated_Truck_1,Fuel,Water in Fuel,5877.42
340,03-05-2022 08:30,Excavator_1,Misc,System Voltage,25.04
341,03-05-2022 08:40,Dozer_1,Engine,Speed,5551.43
342,03-05-2022 08:50,Dozer_1,Drive,Brake Control,0.89
343,03-05-2022 09:00,Articulated_Truck_1,Misc,Exhaust Gas Temparature,687.64
344,03-05-2022 09:10,Dozer_1,Misc,Air Filter Pressure,37.08
345,03-05-2022 09:20,Excavator_1,Engine,Speed,2416.1
346,03-05-2022 09:30,Dozer_1,Fuel,Level,3.2
347,03-05-2022 09:40,Articulated_Truck_1,Drive,Brake Control,1.92
348,03-05-2022 09:50,Backhoe_Loader_1,Engine,Oil Pressure,36.84
349,03-05-2022 10:00,Excavator_1,Engine,Speed,1773.17
350,03-05-2022 10:10,Backhoe_Loader_1,Misc,Hydraulic Pump Rate,417.71
351,03-05-2022 10:20,Dozer_1,Fuel,Water in Fuel,760.67
352,03-05-2022 10:30,Excavator_1,Misc,Exhaust Gas Temparature,604.09
353,03-05-2022 10:40,Backhoe_Loader_1,Drive,Transmission Pressure,279.76
354,03-05-2022 10:50,Dozer_1,Drive,Transmission Pressure,1755.35
355,03-05-2022 11:00,Dozer_1,Misc,Hydraulic Pump Rate,345.36
356,03-05-2022 11:10,Articulated_Truck_1,Misc,Air Filter Pressure,15.21
357,03-05-2022 11:20,Articulated_Truck_1,Engine,Temparature,219.88
358,03-05-2022 11:30,Articulated_Truck_1,Misc,Exhaust Gas Temparature,853.66
359,03-05-2022 11:40,Excavator_1,Fuel,Level,3.44
360,03-05-2022 11:50,Backhoe_Loader_1,Fuel,Level,2.79
361,03-05-2022 12:00,Articulated_Truck_1,Drive,Pedal Sensor,20.11
362,03-05-2022 12:10,Dozer_1,Engine,Oil Pressure,67.26
363,03-05-2022 12:20,Backhoe_Loader_1,Fuel,Water in Fuel,5816.6
364,03-05-2022 12:30,Articulated_Truck_1,Drive,Pedal Sensor,16.85
365,03-05-2022 12:40,Dozer_1,Fuel,Pressure,87.66
366,03-05-2022 12:50,Excavator_1,Misc,System Voltage,71.65
