Id,Time,Machine,Component,Parameter,Value
30,01-05-2022 04:50,Dozer_1,Engine,Speed,4073.12
31,01-05-2022 05:00,Excavator_1,Misc,Hydraulic Pump Rate,231.56
32,01-05-2022 05:10,Dozer_1,Fuel,Water in Fuel,5044.43
33,01-05-2022 05:20,Articulated_Truck_1,Engine,Speed,1610.35
34,01-05-2022 05:30,Articulated_Truck_1,Drive,Transmission Pressure,309.44
35,01-05-2022 05:40,Dozer_1,Fuel,Fuel Level,0.53
36,01-05-2022 05:50,Backhoe_Loader_1,Misc,Air Filter Pressure,38.07
37,01-05-2022 06:00,Articulated_Truck_1,Engine,Oil Pressure,128.65
38,01-05-2022 06:10,Excavator_1,Fuel,Fuel Level,4.35
39,01-05-2022 06:20,Excavator_1,Misc,Exhaust Gas Temperature,751.47
40,01-05-2022 06:30,Backhoe_Loader_1,Misc,Air Filter Pressure,30.39
41,01-05-2022 06:40,Backhoe_Loader_1,Misc,Air Filter Pressure,0.43
42,01-05-2022 06:50,Articulated_Truck_1,Fuel,Temperature,408.21
43,01-05-2022 07:00,Dozer_1,Fuel,Temperature,199.2
44,01-05-2022 07:10,Dozer_1,Fuel,Water in Fuel,1994.85
45,01-05-2022 07:20,Excavator_1,Fuel,Temperature,756.03
46,01-05-2022 07:30,Dozer_1,Engine,Temperature,405.33
47,01-05-2022 07:40,Dozer_1,Misc,Exhaust Gas Temperature,1456.86
48,01-05-2022 07:50,Dozer_1,Fuel,Temperature,150.82
49,01-05-2022 08:00,Articulated_Truck_1,Engine,Speed,4127.84
50,01-05-2022 08:10,Articulated_Truck_1,Misc,Hydraulic Pump Rate,393.37
51,01-05-2022 08:20,Backhoe_Loader_1,Fuel,Temperature,254.33
52,01-05-2022 08:30,Excavator_1,Engine,Oil Pressure,29.44
53,01-05-2022 08:40,Excavator_1,Engine,Speed,2067.42
54,01-05-2022 08:50,Articulated_Truck_1,Engine,Speed,2877.94
55,01-05-2022 09:00,Excavator_1,Engine,Oil Pressure,36.64
56,01-05-2022 09:10,Articulated_Truck_1,Engine,Oil Pressure,124.37
57,01-05-2022 09:20,Backhoe_Loader_1,Engine,Oil Pressure,87.21
58,01-05-2022 09:30,Excavator_1,Engine,Oil Pressure,38.07
59,01-05-2022 09:40,Excavator_1,Fuel,Fuel Level,0.51
60,01-05-2022 09:50,Articulated_Truck_1,Misc,Exhaust Gas Temperature,1832.12
61,01-05-2022 10:00,Articulated_Truck_1,Engine,Oil Pressure,77.38
62,01-05-2022 10:10,Excavator_1,Engine,Temperature,207.35
63,01-05-2022 10:20,Articulated_Truck_1,Drive,Transmission Pressure,1971.21
64,01-05-2022 10:30,Dozer_1,Fuel,Fuel Level,2.66
65,01-05-2022 10:40,Articulated_Truck_1,Engine,Speed,2973.53
66,01-05-2022 10:50,Dozer_1,Drive,Transmission Pressure,1202.28
67,01-05-2022 11:00,Articulated_Truck_1,Misc,Air Filter Pressure,9.74
68,01-05-2022 11:10,Excavator_1,Drive,Transmission Pressure,186.7
69,01-05-2022 11:20,Backhoe_Loader_1,Engine,Speed,3466.55
70,01-05-2022 11:30,Backhoe_Loader_1,Misc,Air Filter Pressure,36.0
71,01-05-2022 11:40,Articulated_Truck_1,Fuel,Fuel Pressure,180.0
72,01-05-2022 11:50,Dozer_1,Fuel,Fuel Level,3.84
73,01-05-2022 12:00,Backhoe_Loader_1,Fuel,Temperature,58.34
74,01-05-2022 12:10,Backhoe_Loader_1,Engine,Speed,1890.48
75,01-05-2022 12:20,Excavator_1,Fuel,Water in Fuel,2074.45
76,01-05-2022 12:30,Dozer_1,Engine,Temperature,733.65
77,01-05-2022 12:40,Backhoe_Loader_1,Fuel,Water in Fuel,437.06
78,01-05-2022 12:50,Articulated_Truck_1,Misc,Hydraulic Pump Rate,162.84
79,01-05-2022 13:00,Articulated_Truck_1,Engine,Temperature,790.73
80,01-05-2022 13:10,Excavator_1,Drive,Pedal Sensor,6.05
81,01-05-2022 13:20,Excavator_1,Drive,Pedal Sensor,27.38
82,01-05-2022 13:30,Articulated_Truck_1,Fuel,Fuel Level,4.0
83,01-05-2022 13:40,Dozer_1,Engine,Temperature,385.28
84,01-05-2022 13:50,Articulated_Truck_1,Drive,Brake Control,1.98
85,01-05-2022 14:00,Backhoe_Loader_1,Engine,Speed,4855.79
86,01-05-2022 14:10,Articulated_Truck_1,Misc,Exhaust Gas Temperature,1914.61
87,01-05-2022 14:20,Excavator_1,Fuel,Fuel Pressure,37.38
88,01-05-2022 14:30,Dozer_1,Drive,Brake Control,2.68
89,01-05-2022 14:40,Dozer_1,Fuel,Fuel Pressure,188.13
90,01-05-2022 14:50,Excavator_1,Engine,Temperature,440.19
91,01-05-2022 15:00,Excavator_1,Fuel,Water in Fuel,47.5
92,01-05-2022 15:10,Backhoe_Loader_1,Fuel,Fuel Level,1.02
93,01-05-2022 15:20,Backhoe_Loader_1,Fuel,Temperature,142.55
94,01-05-2022 15:30,Excavator_1,Engine,Temperature,516.22
95,01-05-2022 15:40,Excavator_1,Drive,Transmission Pressure,1947.24
96,01-05-2022 15:50,Excavator_1,Misc,Hydraulic Pump Rate,281.26
97,01-05-2022 16:00,Dozer_1,Engine,Speed,4510.21
98,01-05-2022 16:10,Backhoe_Loader_1,Drive,Pedal Sensor,2.41
99,01-05-2022 16:20,Articulated_Truck_1,Misc,System Voltage,69.56
100,01-05-2022 16:30,Articulated_Truck_1,Fuel,Temperature,794.45
101,01-05-2022 16:40,Excavator_1,Fuel,Temperature,635.42
102,01-05-2022 16:50,Dozer_1,Engine,Speed,5801.06
103,01-05-2022 17:00,Backhoe_Loader_1,Fuel,Fuel Pressure,96.99
104,01-05-2022 17:10,Dozer_1,Fuel,Water in Fuel,2298.19
105,01-05-2022 17:20,Dozer_1,Drive,Brake Control,1.42
106,01-05-2022 17:30,Dozer_1,Misc,Hydraulic Pump Rate,448.37
107,01-05-2022 17:40,Dozer_1,Engine,Oil Pressure,106.63
108,01-05-2022 17:50,Backhoe_Loader_1,Fuel,Fuel Level,3.22
109,01-05-2022 18:00,Excavator_1,Misc,Hydraulic Pump Rate,139.6
110,01-05-2022 18:10,Dozer_1,Engine,Temperature,647.88
111,01-05-2022 18:20,Dozer_1,Misc,Exhaust Gas Temperature,1469.73
112,01-05-2022 18:30,Excavator_1,Drive,Transmission Pressure,674.44
113,01-05-2022 18:40,Excavator_1,Misc,Air Filter Pressure,2.51
114,01-05-2022 18:50,Backhoe_Loader_1,Engine,Speed,1682.17
115,01-05-2022 19:00,Dozer_1,Fuel,Fuel Pressure,76.18
116,01-05-2022 19:10,Articulated_Truck_1,Engine,Oil Pressure,57.03
117,01-05-2022 19:20,Excavator_1,Engine,Temperature,163.99
118,01-05-2022 19:30,Dozer_1,Drive,Brake Control,1.08
119,01-05-2022 19:40,Backhoe_Loader_1,Engine,Temperature,454.68
120,01-05-2022 19:50,Backhoe_Loader_1,Fuel,Water in Fuel,3013.0
121,01-05-2022 20:00,Excavator_1,Misc,Hydraulic Pump Rate,145.52
122,01-05-2022 20:10,Articulated_Truck_1,Engine,Temperature,641.49
123,01-05-2022 20:20,Articulated_Truck_1,Engine,Temperature,131.62
124,01-05-2022 20:30,Dozer_1,Engine,Oil Pressure,139.32
125,01-05-2022 20:40,Backhoe_Loader_1,Engine,Temperature,636.63
126,01-05-2022 20:50,Backhoe_Loader_1,Fuel,Temperature,464.28
127,01-05-2022 21:00,Excavator_1,Engine,Temperature,349.15
128,01-05-2022 21:10,Dozer_1,Misc,Air Filter Pressure,3.31
129,01-05-2022 21:20,Articulated_Truck_1,Engine,Speed,1358.22
130,01-05-2022 21:30,Excavator_1,Fuel,Water in Fuel,942.22
131,01-05-2022 21:40,Dozer_1,Fuel,Fuel Pressure,42.38
132,01-05-2022 21:50,Articulated_Truck_1,Misc,Air Filter Pressure,9.12
133,01-05-2022 22:00,Dozer_1,Drive,Brake Control,2.66
134,01-05-2022 22:10,Excavator_1,Engine,Temperature,764.73
135,01-05-2022 22:20,Backhoe_Loader_1,Engine,Temperature,742.37
136,01-05-2022 22:30,Excavator_1,Fuel,Fuel Level,3.66
137,01-05-2022 22:40,Backhoe_Loader_1,Misc,Hydraulic Pump Rate,201.87
138,01-05-2022 22:50,Excavator_1,Drive,Pedal Sensor,15.81
139,01-05-2022 23:00,Articulated_Truck_1,Engine,Temperature,263.04
140,01-05-2022 23:10,Articulated_Truck_1,Engine,Temperature,306.78
141,01-05-2022 23:20,Excavator_1,Drive,Brake Control,3.1
142,01-05-2022 23:30,Articulated_Truck_1,Misc,Air Filter Pressure,7.96
143,01-05-2022 23:40,Backhoe_Loader_1,Misc,Air Filter Pressure,30.38
144,01-05-2022 23:50,Excavator_1,Engine,Speed,882.77
145,02-05-2022 00:00,Excavator_1,Drive,Brake Control,2.09
146,02-05-2022 00:10,Excavator_1,Drive,Brake Control,1.03
147,02-05-2022 00:20,Backhoe_Loader_1,Misc,Air Filter Pressure,30.63
148,02-05-2022 00:30,Backhoe_Loader_1,Engine,Temperature,686.13
149,02-05-2022 00:40,Excavator_1,Fuel,Fuel Pressure,79.7
150,02-05-2022 00:50,Backhoe_Loader_1,Drive,Transmission Pressure,1578.91
151,02-05-2022 01:00,Backhoe_Loader_1,Engine,Temperature,337.39
152,02-05-2022 01:10,Articulated_Truck_1,Misc,Exhaust Gas Temperature,586.53
153,02-05-2022 01:20,Articulated_Truck_1,Drive,Brake Control,3.75
154,02-05-2022 01:30,Backhoe_Loader_1,Drive,Pedal Sensor,8.09
155,02-05-2022 01:40,Dozer_1,Fuel,Water in Fuel,2520.03
156,02-05-2022 01:50,Excavator_1,Engine,Oil Pressure,39.2
157,02-05-2022 02:00,Dozer_1,Drive,Brake Control,1.41
158,02-05-2022 02:10,Dozer_1,Engine,Speed,2462.34
159,02-05-2022 02:20,Articulated_Truck_1,Drive,Brake Control,1.97
160,02-05-2022 02:30,Excavator_1,Drive,Transmission Pressure,113.37
161,02-05-2022 02:40,Backhoe_Loader_1,Misc,Exhaust Gas Temperature,1228.17
162,02-05-2022 02:50,Backhoe_Loader_1,Engine,Speed,5384.6
163,02-05-2022 03:00,Backhoe_Loader_1,Drive,Transmission Pressure,120.67
164,02-05-2022 03:10,Backhoe_Loader_1,Engine,Temperature,627.62
165,02-05-2022 03:20,Backhoe_Loader_1,Engine,Speed,4299.76
166,02-05-2022 03:30,Excavator_1,Misc,System Voltage,54.69
167,02-05-2022 03:40,Backhoe_Loader_1,Drive,Pedal Sensor,20.16
168,02-05-2022 03:50,Articulated_Truck_1,Misc,System Voltage,52.47
169,02-05-2022 04:00,Dozer_1,Engine,Oil Pressure,92.33
170,02-05-2022 04:10,Dozer_1,Misc,Air Filter Pressure,39.6
171,02-05-2022 04:20,Backhoe_Loader_1,Fuel,Fuel Level,3.97
172,02-05-2022 04:30,Excavator_1,Engine,Oil Pressure,12.12
173,02-05-2022 04:40,Excavator_1,Engine,Speed,5727.4
174,02-05-2022 04:50,Backhoe_Loader_1,Fuel,Temperature,758.6
175,02-05-2022 05:00,Excavator_1,Fuel,Temperature,418.22
176,02-05-2022 05:10,Backhoe_Loader_1,Fuel,Fuel Level,4.89
177,02-05-2022 05:20,Excavator_1,Drive,Transmission Pressure,1693.54
178,02-05-2022 05:30,Backhoe_Loader_1,Drive,Transmission Pressure,40.91
179,02-05-2022 05:40,Articulated_Truck_1,Engine,Temperature,34.88
180,02-05-2022 05:50,Dozer_1,Misc,Hydraulic Pump Rate,236.24
181,02-05-2022 06:00,Excavator_1,Drive,Brake Control,3.59
182,02-05-2022 06:10,Backhoe_Loader_1,Drive,Brake Control,3.8
183,02-05-2022 06:20,Dozer_1,Drive,Pedal Sensor,0.72
184,02-05-2022 06:30,Backhoe_Loader_1,Misc,Exhaust Gas Temperature,1894.49
185,02-05-2022 06:40,Articulated_Truck_1,Fuel,Water in Fuel,124.59
186,02-05-2022 06:50,Backhoe_Loader_1,Fuel,Temperature,192.09
187,02-05-2022 07:00,Dozer_1,Misc,System Voltage,53.46
188,02-05-2022 07:10,Excavator_1,Engine,Oil Pressure,21.57
189,02-05-2022 07:20,Excavator_1,Misc,Air Filter Pressure,37.03
190,02-05-2022 07:30,Dozer_1,Engine,Speed,1971.14
191,02-05-2022 07:40,Articulated_Truck_1,Engine,Oil Pressure,61.83
192,02-05-2022 07:50,Backhoe_Loader_1,Misc,Exhaust Gas Temperature,545.92
193,02-05-2022 08:00,Backhoe_Loader_1,Drive,Pedal Sensor,7.4
194,02-05-2022 08:10,Excavator_1,Engine,Temperature,406.0
195,02-05-2022 08:20,Backhoe_Loader_1,Misc,Air Filter Pressure,0.75
196,02-05-2022 08:30,Backhoe_Loader_1,Engine,Speed,2697.49
197,02-05-2022 08:40,Backhoe_Loader_1,Misc,Air Filter Pressure,2.08
198,02-05-2022 08:50,Dozer_1,Drive,Transmission Pressure,1597.82
199,02-05-2022 09:00,Backhoe_Loader_1,Fuel,Temperature,671.61
200,02-05-2022 09:10,Articulated_Truck_1,Engine,Speed,692.52
201,02-05-2022 09:20,Excavator_1,Fuel,Water in Fuel,4213.32
202,02-05-2022 09:30,Articulated_Truck_1,Misc,Hydraulic Pump Rate,73.94
203,02-05-2022 09:40,Articulated_Truck_1,Engine,Oil Pressure,20.7
204,02-05-2022 09:50,Dozer_1,Fuel,Fuel Level,3.24
205,02-05-2022 10:00,Excavator_1,Drive,Pedal Sensor,8.12
206,02-05-2022 10:10,Backhoe_Loader_1,Fuel,Water in Fuel,266.56
207,02-05-2022 10:20,Backhoe_Loader_1,Engine,Temperature,353.58
208,02-05-2022 10:30,Dozer_1,Fuel,Fuel Pressure,79.15
209,02-05-2022 10:40,Articulated_Truck_1,Misc,Exhaust Gas Temperature,1430.5
210,02-05-2022 10:50,Excavator_1,Drive,Transmission Pressure,1359.42
211,02-05-2022 11:00,Excavator_1,Misc,Air Filter Pressure,18.41
212,02-05-2022 11:10,Excavator_1,Engine,Speed,2142.47
213,02-05-2022 11:20,Dozer_1,Drive,Brake Control,3.22
214,02-05-2022 11:30,Backhoe_Loader_1,Engine,Speed,3943.74
215,02-05-2022 11:40,Excavator_1,Engine,Oil Pressure,127.58
216,02-05-2022 11:50,Dozer_1,Fuel,Temperature,669.76
217,02-05-2022 12:00,Excavator_1,Drive,Pedal Sensor,22.32
218,02-05-2022 12:10,Excavator_1,Drive,Transmission Pressure,405.93
219,02-05-2022 12:20,Articulated_Truck_1,Drive,Brake Control,2.35
220,02-05-2022 12:30,Excavator_1,Drive,Transmission Pressure,1847.1
221,02-05-2022 12:40,Dozer_1,Fuel,Fuel Pressure,122.01
222,02-05-2022 12:50,Articulated_Truck_1,Misc,System Voltage,32.17
223,02-05-2022 13:00,Articulated_Truck_1,Misc,Hydraulic Pump Rate,408.96
224,02-05-2022 13:10,Excavator_1,Engine,Speed,4365.35
225,02-05-2022 13:20,Articulated_Truck_1,Drive,Transmission Pressure,1500.73
226,02-05-2022 13:30,Excavator_1,Misc,Exhaust Gas Temperature,1929.02
227,02-05-2022 13:40,Excavator_1,Fuel,Fuel Level,2.12
228,02-05-2022 13:50,Excavator_1,Engine,Oil Pressure,64.6
229,02-05-2022 14:00,Excavator_1,Fuel,Fuel Level,0.74
230,02-05-2022 14:10,Dozer_1,Engine,Temperature,207.77
231,02-05-2022 14:20,Dozer_1,Fuel,Water in Fuel,2071.52
232,02-05-2022 14:30,Backhoe_Loader_1,Misc,Air Filter Pressure,14.49
233,02-05-2022 14:40,Backhoe_Loader_1,Drive,Pedal Sensor,19.07
234,02-05-2022 14:50,Articulated_Truck_1,Fuel,Fuel Level,3.53
235,02-05-2022 15:00,Articulated_Truck_1,Fuel,Fuel Level,3.88
236,02-05-2022 15:10,Dozer_1,Drive,Transmission Pressure,1612.87
237,02-05-2022 15:20,Excavator_1,Engine,Oil Pressure,85.06
238,02-05-2022 15:30,Backhoe_Loader_1,Drive,Transmission Pressure,606.53
239,02-05-2022 15:40,Excavator_1,Engine,Temperature,47.23
240,02-05-2022 15:50,Backhoe_Loader_1,Drive,Brake Control,3.56
241,02-05-2022 16:00,Backhoe_Loader_1,Drive,Brake Control,2.68
242,02-05-2022 16:10,Excavator_1,Drive,Brake Control,2.42
243,02-05-2022 16:20,Backhoe_Loader_1,Fuel,Temperature,219.98
244,02-05-2022 16:30,Excavator_1,Drive,Transmission Pressure,1570.76
245,02-05-2022 16:40,Excavator_1,Misc,System Voltage,57.13
246,02-05-2022 16:50,Dozer_1,Misc,System Voltage,71.01
247,02-05-2022 17:00,Articulated_Truck_1,Misc,System Voltage,10.33
248,02-05-2022 17:10,Backhoe_Loader_1,Engine,Oil Pressure,82.7
249,02-05-2022 17:20,Backhoe_Loader_1,Fuel,Fuel Pressure,196.45
250,02-05-2022 17:30,Articulated_Truck_1,Engine,Speed,4541.3
251,02-05-2022 17:40,Backhoe_Loader_1,Drive,Pedal Sensor,25.05
252,02-05-2022 17:50,Backhoe_Loader_1,Drive,Pedal Sensor,11.36
253,02-05-2022 18:00,Backhoe_Loader_1,Fuel,Water in Fuel,603.88
254,02-05-2022 18:10,Backhoe_Loader_1,Misc,System Voltage,89.65
255,02-05-2022 18:20,Excavator_1,Fuel,Temperature,109.05
256,02-05-2022 18:30,Articulated_Truck_1,Fuel,Water in Fuel,3324.82
257,02-05-2022 18:40,Articulated_Truck_1,Fuel,Water in Fuel,1036.64
258,02-05-2022 18:50,Articulated_Truck_1,Fuel,Temperature,313.94
259,02-05-2022 19:00,Backhoe_Loader_1,Fuel,Temperature,721.02
260,02-05-2022 19:10,Articulated_Truck_1,Misc,Exhaust Gas Temperature,602.11
261,02-05-2022 19:20,Excavator_1,Fuel,Fuel Pressure,34.36
262,02-05-2022 19:30,Backhoe_Loader_1,Fuel,Fuel Level,0.38
263,02-05-2022 19:40,Excavator_1,Drive,Brake Control,0.73
264,02-05-2022 19:50,Articulated_Truck_1,Engine,Speed,3647.74
265,02-05-2022 20:00,Excavator_1,Drive,Transmission Pressure,789.45
266,02-05-2022 20:10,Dozer_1,Engine,Temperature,751.01
267,02-05-2022 20:20,Excavator_1,Drive,Pedal Sensor,12.4
268,02-05-2022 20:30,Articulated_Truck_1,Drive,Transmission Pressure,1745.0
269,02-05-2022 20:40,Dozer_1,Misc,Air Filter Pressure,15.44
270,02-05-2022 20:50,Excavator_1,Engine,Temperature,27.65
271,02-05-2022 21:00,Excavator_1,Engine,Oil Pressure,74.51
272,02-05-2022 21:10,Backhoe_Loader_1,Drive,Brake Control,2.58
273,02-05-2022 21:20,Dozer_1,Drive,Brake Control,0.75
274,02-05-2022 21:30,Articulated_Truck_1,Misc,System Voltage,17.89
275,02-05-2022 21:40,Articulated_Truck_1,Fuel,Fuel Level,3.89
276,02-05-2022 21:50,Dozer_1,Fuel,Fuel Pressure,27.21
277,02-05-2022 22:00,Articulated_Truck_1,Fuel,Fuel Pressure,176.79
278,02-05-2022 22:10,Excavator_1,Fuel,Fuel Level,2.11
279,02-05-2022 22:20,Backhoe_Loader_1,Fuel,Fuel Pressure,69.99
280,02-05-2022 22:30,Backhoe_Loader_1,Fuel,Water in Fuel,5489.94
281,02-05-2022 22:40,Articulated_Truck_1,Drive,Brake Control,2.89
282,02-05-2022 22:50,Backhoe_Loader_1,Misc,Exhaust Gas Temperature,1278.21
283,02-05-2022 23:00,Dozer_1,Misc,Air Filter Pressure,0.37
284,02-05-2022 23:10,Backhoe_Loader_1,Misc,Exhaust Gas Temperature,1638.11
285,02-05-2022 23:20,Dozer_1,Misc,Hydraulic Pump Rate,254.77
286,02-05-2022 23:30,Articulated_Truck_1,Drive,Brake Control,2.23
287,02-05-2022 23:40,Excavator_1,Fuel,Temperature,417.84
288,02-05-2022 23:50,Backhoe_Loader_1,Drive,Transmission Pressure,865.72
289,03-05-2022 00:00,Dozer_1,Drive,Transmission Pressure,1862.15
290,03-05-2022 00:10,Articulated_Truck_1,Engine,Temperature,405.92
291,03-05-2022 00:20,Excavator_1,Misc,Air Filter Pressure,37.9
292,03-05-2022 00:30,Dozer_1,Misc,Hydraulic Pump Rate,386.62
293,03-05-2022 00:40,Backhoe_Loader_1,Fuel,Water in Fuel,2947.61
294,03-05-2022 00:50,Excavator_1,Fuel,Fuel Pressure,138.9
295,03-05-2022 01:00,Articulated_Truck_1,Misc,Exhaust Gas Temperature,1859.11
296,03-05-2022 01:10,Dozer_1,Engine,Oil Pressure,97.1
297,03-05-2022 01:20,Articulated_Truck_1,Engine,Temperature,20.15
298,03-05-2022 01:30,Backhoe_Loader_1,Drive,Brake Control,3.95
299,03-05-2022 01:40,Excavator_1,Engine,Speed,5644.56
300,03-05-2022 01:50,Dozer_1,Misc,System Voltage,3.18
301,03-05-2022 02:00,Backhoe_Loader_1,Drive,Brake Control,1.69
302,03-05-2022 02:10,Dozer_1,Engine,Temperature,731.84
303,03-05-2022 02:20,Dozer_1,Drive,Brake Control,3.05
304,03-05-2022 02:30,Dozer_1,Fuel,Fuel Pressure,142.67
305,03-05-2022 02:40,Backhoe_Loader_1,Misc,Hydraulic Pump Rate,179.01
306,03-05-2022 02:50,Articulated_Truck_1,Misc,Exhaust Gas Temperature,1780.85
307,03-05-2022 03:00,Excavator_1,Misc,Hydraulic Pump Rate,361.75
308,03-05-2022 03:10,Backhoe_Loader_1,Misc,Air Filter Pressure,36.56
309,03-05-2022 03:20,Dozer_1,Engine,Temperature,204.55
310,03-05-2022 03:30,Articulated_Truck_1,Fuel,Temperature,280.34
311,03-05-2022 03:40,Dozer_1,Fuel,Water in Fuel,695.27
312,03-05-2022 03:50,Excavator_1,Engine,Temperature,545.57
313,03-05-2022 04:00,Excavator_1,Misc,System Voltage,39.04
314,03-05-2022 04:10,Dozer_1,Engine,Temperature,315.37
315,03-05-2022 04:20,Dozer_1,Drive,Brake Control,0.34
316,03-05-2022 04:30,Articulated_Truck_1,Drive,Pedal Sensor,6.15
317,03-05-2022 04:40,Dozer_1,Misc,Air Filter Pressure,22.73
318,03-05-2022 04:50,Dozer_1,Drive,Pedal Sensor,10.56
319,03-05-2022 05:00,Backhoe_Loader_1,Drive,Transmission Pressure,1253.21
320,03-05-2022 05:10,Articulated_Truck_1,Drive,Brake Control,3.6
321,03-05-2022 05:20,Excavator_1,Misc,Hydraulic Pump Rate,152.31
322,03-05-2022 05:30,Articulated_Truck_1,Engine,Oil Pressure,137.99
323,03-05-2022 05:40,Articulated_Truck_1,Fuel,Fuel Level,2.45
324,03-05-2022 05:50,Articulated_Truck_1,Engine,Temperature,457.04
325,03-05-2022 06:00,Excavator_1,Engine,Temperature,367.25
326,03-05-2022 06:10,Backhoe_Loader_1,Engine,Temperature,400.47
327,03-05-2022 06:20,Backhoe_Loader_1,Fuel,Temperature,783.89
328,03-05-2022 06:30,Excavator_1,Engine,Speed,5770.79
329,03-05-2022 06:40,Dozer_1,Engine,Oil Pressure,85.3
330,03-05-2022 06:50,Articulated_Truck_1,Engine,Oil Pressure,123.14
331,03-05-2022 07:00,Dozer_1,Engine,Oil Pressure,109.72
332,03-05-2022 07:10,Dozer_1,Fuel,Water in Fuel,5992.72
333,03-05-2022 07:20,Articulated_Truck_1,Engine,Oil Pressure,78.19
334,03-05-2022 07:30,Backhoe_Loader_1,Drive,Brake Control,3.86
335,03-05-2022 07:40,Excavator_1,Misc,Hydraulic Pump Rate,234.01
336,03-05-2022 07:50,Dozer_1,Drive,Transmission Pressure,337.11
337,03-05-2022 08:00,Articulated_Truck_1,Fuel,Fuel Level,3.55
338,03-05-2022 08:10,Backhoe_Loader_1,Drive,Brake Control,1.71
339,03-05-2022 08:20,Articulated_Truck_1,Engine,Temperature,116.74
340,03-05-2022 08:30,Backhoe_Loader_1,Drive,Pedal Sensor,7.34
341,03-05-2022 08:40,Articulated_Truck_1,Misc,Hydraulic Pump Rate,353.07
342,03-05-2022 08:50,Dozer_1,Engine,Oil Pressure,23.5
343,03-05-2022 09:00,Backhoe_Loader_1,Drive,Brake Control,3.65
344,03-05-2022 09:10,Backhoe_Loader_1,Engine,Temperature,765.06
345,03-05-2022 09:20,Dozer_1,Misc,Air Filter Pressure,3.17
346,03-05-2022 09:30,Excavator_1,Engine,Temperature,672.26
347,03-05-2022 09:40,Articulated_Truck_1,Drive,Transmission Pressure,369.02
348,03-05-2022 09:50,Excavator_1,Engine,Speed,3961.39
349,03-05-2022 10:00,Excavator_1,Misc,Air Filter Pressure,34.49
350,03-05-2022 10:10,Backhoe_Loader_1,Engine,Temperature,194.03
351,03-05-2022 10:20,Backhoe_Loader_1,Drive,Transmission Pressure,1486.93
352,03-05-2022 10:30,Backhoe_Loader_1,Fuel,Fuel Level,4.04
353,03-05-2022 10:40,Articulated_Truck_1,Fuel,Fuel Level,1.61
354,03-05-2022 10:50,Articulated_Truck_1,Fuel,Temperature,179.45
355,03-05-2022 11:00,Dozer_1,Engine,Oil Pressure,24.51
356,03-05-2022 11:10,Dozer_1,Misc,System Voltage,87.22
357,03-05-2022 11:20,Backhoe_Loader_1,Fuel,Fuel Pressure,198.17
358,03-05-2022 11:30,Articulated_Truck_1,Misc,Exhaust Gas Temperature,1723.93
359,03-05-2022 11:40,Dozer_1,Drive,Brake Control,0.99
360,03-05-2022 11:50,Articulated_Truck_1,Misc,Exhaust Gas Temperature,1698.78
361,03-05-2022 12:00,Dozer_1,Misc,Hydraulic Pump Rate,77.31
362,03-05-2022 12:10,Backhoe_Loader_1,Fuel,Temperature,14.66
