Id,Time,Machine,Component,Parameter,Value
52,01-05-2022 08:30,Articulated_Truck_1,Fuel,Temparature,270.17
53,01-05-2022 08:40,Excavator_1,Misc,Hydraulic Pump Rate,140.87
54,01-05-2022 08:50,Backhoe_Loader_1,Fuel,Fuel Level,1.8
55,01-05-2022 09:00,Articulated_Truck_1,Fuel,Fuel Pressure,191.1
56,01-05-2022 09:10,Backhoe_Loader_1,Fuel,Fuel Level,0.57
57,01-05-2022 09:20,Dozer_1,Fuel,Fuel Level,2.83
58,01-05-2022 09:30,Articulated_Truck_1,Misc,System Voltage,24.69
59,01-05-2022 09:40,Backhoe_Loader_1,Engine,Temparature,718.87
60,01-05-2022 09:50,Excavator_1,Misc,System Voltage,27.37
61,01-05-2022 10:00,Articulated_Truck_1,Drive,Pedal Sensor,7.23
62,01-05-2022 10:10,Dozer_1,Drive,Transmission Pressure,914.22
63,01-05-2022 10:20,Excavator_1,Engine,Temparature,305.99
64,01-05-2022 10:30,Backhoe_Loader_1,Misc,Exhaust Gas Temparature,832.37
65,01-05-2022 10:40,Dozer_1,Misc,Hydraulic Pump Rate,322.55
66,01-05-2022 10:50,Backhoe_Loader_1,Engine,Speed,6347.24
67,01-05-2022 11:00,Backhoe_Loader_1,Misc,System Voltage,13.91
68,01-05-2022 11:10,Excavator_1,Fuel,Fuel Level,4.82
69,01-05-2022 11:20,Excavator_1,Drive,Transmission Pressure,1711.49
70,01-05-2022 11:30,Dozer_1,Misc,System Voltage,42.29
71,01-05-2022 11:40,Excavator_1,Drive,Pedal Sensor,20.17
72,01-05-2022 11:50,Excavator_1,Fuel,Fuel Pressure,41.06
73,01-05-2022 12:00,Dozer_1,Fuel,Temparature,136.81
74,01-05-2022 12:10,Excavator_1,Drive,Transmission Pressure,1088.21
75,01-05-2022 12:20,Backhoe_Loader_1,Drive,Transmission Pressure,1459.43
76,01-05-2022 12:30,Backhoe_Loader_1,Drive,Transmission Pressure,76.71
77,01-05-2022 12:40,Backhoe_Loader_1,Drive,Brake Control,1.85
78,01-05-2022 12:50,Articulated_Truck_1,Fuel,Water in Fuel,3666.62
79,01-05-2022 13:00,Articulated_Truck_1,Engine,Speed,904.12
80,01-05-2022 13:10,Excavator_1,Engine,Speed,5047.49
81,01-05-2022 13:20,Backhoe_Loader_1,Drive,Brake Control,1.15
82,01-05-2022 13:30,Backhoe_Loader_1,Fuel,Fuel Pressure,197.68
83,01-05-2022 13:40,Backhoe_Loader_1,Engine,Speed,4640.28
84,01-05-2022 13:50,Backhoe_Loader_1,Fuel,Temparature,334.55
85,01-05-2022 14:00,Dozer_1,Drive,Brake Control,0.86
86,01-05-2022 14:10,Backhoe_Loader_1,Drive,Pedal Sensor,26.83
87,01-05-2022 14:20,Excavator_1,Engine,Oil Pressure,74.16
88,01-05-2022 14:30,Backhoe_Loader_1,Drive,Transmission Pressure,512.43
89,01-05-2022 14:40,Backhoe_Loader_1,Drive,Transmission Pressure,991.98
90,01-05-2022 14:50,Articulated_Truck_1,Misc,Air Filter Pressure,7.86
91,01-05-2022 15:00,Dozer_1,Drive,Pedal Sensor,8.73
92,01-05-2022 15:10,Backhoe_Loader_1,Fuel,Fuel Level,4.61
93,01-05-2022 15:20,Articulated_Truck_1,Misc,System Voltage,81.32
94,01-05-2022 15:30,Dozer_1,Engine,Temparature,640.87
95,01-05-2022 15:40,Excavator_1,Drive,Pedal Sensor,21.59
96,01-05-2022 15:50,Backhoe_Loader_1,Engine,Oil Pressure,139.53
97,01-05-2022 16:00,Backhoe_Loader_1,Engine,Oil Pressure,88.22
98,01-05-2022 16:10,Backhoe_Loader_1,Misc,System Voltage,53.26
99,01-05-2022 16:20,Excavator_1,Misc,Hydraulic Pump Rate,207.0
100,01-05-2022 16:30,Excavator_1,Misc,System Voltage,79.02
101,01-05-2022 16:40,Articulated_Truck_1,Fuel,Temparature,175.61
102,01-05-2022 16:50,Excavator_1,Fuel,Fuel Pressure,27.55
103,01-05-2022 17:00,Dozer_1,Fuel,Temparature,119.12
104,01-05-2022 17:10,Excavator_1,Drive,Brake Control,1.99
105,01-05-2022 17:20,Backhoe_Loader_1,Drive,Transmission Pressure,1229.99
106,01-05-2022 17:30,Backhoe_Loader_1,Engine,Oil Pressure,82.58
107,01-05-2022 17:40,Backhoe_Loader_1,Misc,System Voltage,44.61
108,01-05-2022 17:50,Articulated_Truck_1,Fuel,Fuel Level,3.95
109,01-05-2022 18:00,Backhoe_Loader_1,Fuel,Fuel Pressure,177.32
110,01-05-2022 18:10,Excavator_1,Engine,Oil Pressure,135.64
111,01-05-2022 18:20,Articulated_Truck_1,Misc,System Voltage,60.25
112,01-05-2022 18:30,Backhoe_Loader_1,Engine,Oil Pressure,100.27
113,01-05-2022 18:40,Backhoe_Loader_1,Misc,Hydraulic Pump Rate,55.75
114,01-05-2022 18:50,Excavator_1,Misc,Air Filter Pressure,6.08
115,01-05-2022 19:00,Dozer_1,Fuel,Fuel Pressure,135.27
116,01-05-2022 19:10,Excavator_1,Drive,Brake Control,2.5
117,01-05-2022 19:20,Dozer_1,Misc,Exhaust Gas Temparature,442.0
118,01-05-2022 19:30,Dozer_1,Drive,Brake Control,0.32
119,01-05-2022 19:40,Backhoe_Loader_1,Drive,Brake Control,2.76
120,01-05-2022 19:50,Backhoe_Loader_1,Drive,Transmission Pressure,470.77
121,01-05-2022 20:00,Articulated_Truck_1,Engine,Temparature,681.61
122,01-05-2022 20:10,Dozer_1,Fuel,Fuel Pressure,171.24
123,01-05-2022 20:20,Dozer_1,Fuel,Fuel Level,4.44
124,01-05-2022 20:30,Dozer_1,Fuel,Fuel Pressure,11.81
125,01-05-2022 20:40,Backhoe_Loader_1,Fuel,Water in Fuel,4308.0
126,01-05-2022 20:50,Backhoe_Loader_1,Drive,Transmission Pressure,218.66
127,01-05-2022 21:00,Dozer_1,Misc,System Voltage,26.72
128,01-05-2022 21:10,Dozer_1,Engine,Temparature,349.85
129,01-05-2022 21:20,Backhoe_Loader_1,Fuel,Water in Fuel,2163.9
130,01-05-2022 21:30,Dozer_1,Drive,Transmission Pressure,930.35
131,01-05-2022 21:40,Excavator_1,Misc,Exhaust Gas Temparature,212.11
132,01-05-2022 21:50,Excavator_1,Drive,Transmission Pressure,754.78
133,01-05-2022 22:00,Backhoe_Loader_1,Drive,Pedal Sensor,25.05
134,01-05-2022 22:10,Excavator_1,Fuel,Fuel Pressure,19.29
135,01-05-2022 22:20,Excavator_1,Fuel,Water in Fuel,6036.36
136,01-05-2022 22:30,Backhoe_Loader_1,Drive,Pedal Sensor,6.1
137,01-05-2022 22:40,Excavator_1,Engine,Oil Pressure,31.03
138,01-05-2022 22:50,Backhoe_Loader_1,Misc,Hydraulic Pump Rate,293.39
139,01-05-2022 23:00,Backhoe_Loader_1,Misc,Exhaust Gas Temparature,1166.93
140,01-05-2022 23:10,Excavator_1,Drive,Brake Control,3.94
141,01-05-2022 23:20,Backhoe_Loader_1,Fuel,Fuel Level,2.33
142,01-05-2022 23:30,Excavator_1,Misc,System Voltage,92.1
143,01-05-2022 23:40,Articulated_Truck_1,Drive,Pedal Sensor,5.2
144,01-05-2022 23:50,Dozer_1,Fuel,Fuel Level,4.14
145,02-05-2022 00:00,Backhoe_Loader_1,Engine,Oil Pressure,136.56
146,02-05-2022 00:10,Excavator_1,Fuel,Fuel Level,2.37
147,02-05-2022 00:20,Articulated_Truck_1,Misc,Air Filter Pressure,23.43
148,02-05-2022 00:30,Backhoe_Loader_1,Drive,Brake Control,2.17
149,02-05-2022 00:40,Backhoe_Loader_1,Engine,Speed,2808.3
150,02-05-2022 00:50,Excavator_1,Drive,Transmission Pressure,687.65
151,02-05-2022 01:00,Backhoe_Loader_1,Drive,Brake Control,0.6
152,02-05-2022 01:10,Articulated_Truck_1,Fuel,Temparature,660.88
153,02-05-2022 01:20,Excavator_1,Fuel,Fuel Pressure,81.12
154,02-05-2022 01:30,Backhoe_Loader_1,Engine,Oil Pressure,38.5
155,02-05-2022 01:40,Dozer_1,Drive,Transmission Pressure,201.74
156,02-05-2022 01:50,Backhoe_Loader_1,Drive,Transmission Pressure,400.19
157,02-05-2022 02:00,Articulated_Truck_1,Misc,System Voltage,29.07
158,02-05-2022 02:10,Articulated_Truck_1,Misc,Air Filter Pressure,15.52
159,02-05-2022 02:20,Dozer_1,Engine,Speed,4396.42
160,02-05-2022 02:30,Dozer_1,Fuel,Fuel Level,1.89
161,02-05-2022 02:40,Dozer_1,Fuel,Fuel Pressure,55.46
162,02-05-2022 02:50,Backhoe_Loader_1,Engine,Speed,4133.8
163,02-05-2022 03:00,Articulated_Truck_1,Misc,Hydraulic Pump Rate,223.97
164,02-05-2022 03:10,Backhoe_Loader_1,Misc,Air Filter Pressure,14.9
165,02-05-2022 03:20,Backhoe_Loader_1,Engine,Oil Pressure,72.84
166,02-05-2022 03:30,Articulated_Truck_1,Engine,Speed,4282.28
167,02-05-2022 03:40,Dozer_1,Drive,Transmission Pressure,763.31
168,02-05-2022 03:50,Backhoe_Loader_1,Fuel,Fuel Pressure,124.99
169,02-05-2022 04:00,Articulated_Truck_1,Fuel,Fuel Pressure,20.71
170,02-05-2022 04:10,Dozer_1,Misc,Exhaust Gas Temparature,546.97
171,02-05-2022 04:20,Excavator_1,Engine,Temparature,111.41
172,02-05-2022 04:30,Dozer_1,Drive,Transmission Pressure,1104.24
173,02-05-2022 04:40,Articulated_Truck_1,Engine,Speed,926.38
174,02-05-2022 04:50,Backhoe_Loader_1,Engine,Speed,6332.17
175,02-05-2022 05:00,Excavator_1,Fuel,Water in Fuel,5411.14
176,02-05-2022 05:10,Excavator_1,Fuel,Temparature,477.28
177,02-05-2022 05:20,Articulated_Truck_1,Drive,Pedal Sensor,12.06
178,02-05-2022 05:30,Excavator_1,Drive,Brake Control,0.98
179,02-05-2022 05:40,Backhoe_Loader_1,Fuel,Water in Fuel,470.23
180,02-05-2022 05:50,Backhoe_Loader_1,Engine,Speed,5706.11
181,02-05-2022 06:00,Backhoe_Loader_1,Drive,Transmission Pressure,1062.3
182,02-05-2022 06:10,Excavator_1,Engine,Temparature,732.37
183,02-05-2022 06:20,Articulated_Truck_1,Misc,Hydraulic Pump Rate,110.25
184,02-05-2022 06:30,Backhoe_Loader_1,Drive,Brake Control,1.63
185,02-05-2022 06:40,Dozer_1,Fuel,Fuel Level,0.12
186,02-05-2022 06:50,Excavator_1,Engine,Speed,162.02
187,02-05-2022 07:00,Dozer_1,Misc,Hydraulic Pump Rate,361.38
188,02-05-2022 07:10,Dozer_1,Engine,Speed,3636.59
189,02-05-2022 07:20,Backhoe_Loader_1,Fuel,Temparature,629.93
190,02-05-2022 07:30,Backhoe_Loader_1,Fuel,Fuel Level,2.11
191,02-05-2022 07:40,Dozer_1,Engine,Oil Pressure,134.05
192,02-05-2022 07:50,Dozer_1,Fuel,Fuel Level,1.91
193,02-05-2022 08:00,Backhoe_Loader_1,Fuel,Water in Fuel,3778.31
194,02-05-2022 08:10,Dozer_1,Misc,Exhaust Gas Temparature,317.02
195,02-05-2022 08:20,Dozer_1,Fuel,Water in Fuel,2083.25
196,02-05-2022 08:30,Excavator_1,Drive,Brake Control,1.52
197,02-05-2022 08:40,Articulated_Truck_1,Engine,Speed,4397.29
198,02-05-2022 08:50,Backhoe_Loader_1,Misc,Exhaust Gas Temparature,843.07
199,02-05-2022 09:00,Articulated_Truck_1,Engine,Speed,5607.88
200,02-05-2022 09:10,Backhoe_Loader_1,Misc,Hydraulic Pump Rate,120.2
201,02-05-2022 09:20,Backhoe_Loader_1,Misc,Air Filter Pressure,24.94
202,02-05-2022 09:30,Dozer_1,Engine,Oil Pressure,70.1
203,02-05-2022 09:40,Excavator_1,Engine,Temparature,88.31
204,02-05-2022 09:50,Excavator_1,Engine,Temparature,734.66
205,02-05-2022 10:00,Excavator_1,Drive,Pedal Sensor,7.76
206,02-05-2022 10:10,Backhoe_Loader_1,Fuel,Temparature,282.07
207,02-05-2022 10:20,Articulated_Truck_1,Engine,Speed,4375.82
208,02-05-2022 10:30,Excavator_1,Misc,Exhaust Gas Temparature,144.9
209,02-05-2022 10:40,Backhoe_Loader_1,Fuel,Fuel Level,0.85
210,02-05-2022 10:50,Excavator_1,Engine,Speed,4572.62
211,02-05-2022 11:00,Dozer_1,Drive,Brake Control,2.73
212,02-05-2022 11:10,Excavator_1,Fuel,Temparature,653.81
213,02-05-2022 11:20,Backhoe_Loader_1,Drive,Pedal Sensor,21.74
214,02-05-2022 11:30,Dozer_1,Misc,Exhaust Gas Temparature,1211.42
215,02-05-2022 11:40,Backhoe_Loader_1,Drive,Brake Control,3.93
216,02-05-2022 11:50,Excavator_1,Fuel,Fuel Pressure,112.29
217,02-05-2022 12:00,Dozer_1,Drive,Pedal Sensor,13.86
218,02-05-2022 12:10,Excavator_1,Misc,System Voltage,66.01
219,02-05-2022 12:20,Dozer_1,Drive,Pedal Sensor,17.4
220,02-05-2022 12:30,Backhoe_Loader_1,Misc,Exhaust Gas Temparature,477.05
221,02-05-2022 12:40,Backhoe_Loader_1,Fuel,Temparature,482.32
222,02-05-2022 12:50,Backhoe_Loader_1,Fuel,Temparature,507.8
223,02-05-2022 13:00,Articulated_Truck_1,Fuel,Water in Fuel,1062.29
224,02-05-2022 13:10,Articulated_Truck_1,Misc,Air Filter Pressure,29.51
225,02-05-2022 13:20,Dozer_1,Fuel,Water in Fuel,2696.86
226,02-05-2022 13:30,Backhoe_Loader_1,Misc,Hydraulic Pump Rate,112.03
227,02-05-2022 13:40,Backhoe_Loader_1,Fuel,Fuel Level,2.33
228,02-05-2022 13:50,Dozer_1,Engine,Speed,4997.48
229,02-05-2022 14:00,Backhoe_Loader_1,Misc,Exhaust Gas Temparature,1729.11
230,02-05-2022 14:10,Backhoe_Loader_1,Drive,Transmission Pressure,1083.41
231,02-05-2022 14:20,Excavator_1,Misc,Hydraulic Pump Rate,88.76
232,02-05-2022 14:30,Excavator_1,Engine,Speed,354.45
233,02-05-2022 14:40,Dozer_1,Drive,Pedal Sensor,2.4
234,02-05-2022 14:50,Excavator_1,Drive,Brake Control,1.03
235,02-05-2022 15:00,Dozer_1,Engine,Temparature,400.53
236,02-05-2022 15:10,Excavator_1,Fuel,Water in Fuel,2879.54
237,02-05-2022 15:20,Excavator_1,Drive,Brake Control,2.0
238,02-05-2022 15:30,Dozer_1,Drive,Pedal Sensor,14.04
239,02-05-2022 15:40,Backhoe_Loader_1,Fuel,Fuel Pressure,182.48
240,02-05-2022 15:50,Backhoe_Loader_1,Engine,Oil Pressure,84.46
241,02-05-2022 16:00,Backhoe_Loader_1,Drive,Brake Control,1.03
242,02-05-2022 16:10,Dozer_1,Fuel,Fuel Pressure,9.97
243,02-05-2022 16:20,Dozer_1,Misc,System Voltage,87.65
244,02-05-2022 16:30,Articulated_Truck_1,Engine,Oil Pressure,136.61
245,02-05-2022 16:40,Dozer_1,Drive,Pedal Sensor,29.72
246,02-05-2022 16:50,Articulated_Truck_1,Misc,Exhaust Gas Temparature,1138.29
247,02-05-2022 17:00,Excavator_1,Misc,Hydraulic Pump Rate,77.52
248,02-05-2022 17:10,Excavator_1,Engine,Oil Pressure,50.74
249,02-05-2022 17:20,Articulated_Truck_1,Drive,Pedal Sensor,11.29
250,02-05-2022 17:30,Backhoe_Loader_1,Drive,Pedal Sensor,9.78
251,02-05-2022 17:40,Excavator_1,Engine,Temparature,443.66
252,02-05-2022 17:50,Dozer_1,Drive,Pedal Sensor,23.81
253,02-05-2022 18:00,Articulated_Truck_1,Misc,System Voltage,25.98
254,02-05-2022 18:10,Excavator_1,Fuel,Water in Fuel,6487.19
255,02-05-2022 18:20,Excavator_1,Drive,Pedal Sensor,21.35
256,02-05-2022 18:30,Dozer_1,Misc,Exhaust Gas Temparature,1951.27
257,02-05-2022 18:40,Articulated_Truck_1,Misc,Air Filter Pressure,2.28
258,02-05-2022 18:50,Articulated_Truck_1,Misc,System Voltage,89.41
259,02-05-2022 19:00,Backhoe_Loader_1,Fuel,Water in Fuel,2175.53
260,02-05-2022 19:10,Dozer_1,Misc,Air Filter Pressure,36.44
261,02-05-2022 19:20,Backhoe_Loader_1,Drive,Pedal Sensor,26.54
262,02-05-2022 19:30,Backhoe_Loader_1,Drive,Transmission Pressure,949.84
263,02-05-2022 19:40,Backhoe_Loader_1,Misc,Exhaust Gas Temparature,968.39
264,02-05-2022 19:50,Backhoe_Loader_1,Misc,Air Filter Pressure,37.14
265,02-05-2022 20:00,Articulated_Truck_1,Fuel,Fuel Level,1.93
266,02-05-2022 20:10,Dozer_1,Misc,Hydraulic Pump Rate,433.24
267,02-05-2022 20:20,Dozer_1,Drive,Brake Control,0.42
268,02-05-2022 20:30,Dozer_1,Fuel,Fuel Level,3.2
269,02-05-2022 20:40,Backhoe_Loader_1,Engine,Temparature,183.25
270,02-05-2022 20:50,Backhoe_Loader_1,Drive,Pedal Sensor,18.6
271,02-05-2022 21:00,Articulated_Truck_1,Drive,Pedal Sensor,16.69
272,02-05-2022 21:10,Backhoe_Loader_1,Misc,System Voltage,42.28
273,02-05-2022 21:20,Dozer_1,Engine,Temparature,734.04
274,02-05-2022 21:30,Backhoe_Loader_1,Engine,Oil Pressure,68.7
275,02-05-2022 21:40,Articulated_Truck_1,Fuel,Water in Fuel,1199.44
276,02-05-2022 21:50,Dozer_1,Drive,Brake Control,1.01
277,02-05-2022 22:00,Articulated_Truck_1,Misc,Hydraulic Pump Rate,176.8
278,02-05-2022 22:10,Articulated_Truck_1,Fuel,Temparature,491.44
279,02-05-2022 22:20,Dozer_1,Engine,Speed,1824.74
280,02-05-2022 22:30,Dozer_1,Fuel,Temparature,784.17
281,02-05-2022 22:40,Articulated_Truck_1,Fuel,Fuel Pressure,14.43
282,02-05-2022 22:50,Articulated_Truck_1,Drive,Brake Control,1.76
283,02-05-2022 23:00,Articulated_Truck_1,Fuel,Fuel Pressure,167.02
284,02-05-2022 23:10,Backhoe_Loader_1,Engine,Oil Pressure,136.29
285,02-05-2022 23:20,Articulated_Truck_1,Fuel,Fuel Pressure,88.67
286,02-05-2022 23:30,Backhoe_Loader_1,Fuel,Fuel Level,1.45
287,02-05-2022 23:40,Articulated_Truck_1,Engine,Oil Pressure,51.02
288,02-05-2022 23:50,Excavator_1,Drive,Transmission Pressure,1590.46
289,03-05-2022 00:00,Articulated_Truck_1,Engine,Oil Pressure,58.09
290,03-05-2022 00:10,Backhoe_Loader_1,Engine,Temparature,652.0
291,03-05-2022 00:20,Articulated_Truck_1,Engine,Oil Pressure,15.41
292,03-05-2022 00:30,Backhoe_Loader_1,Engine,Speed,222.92
293,03-05-2022 00:40,Backhoe_Loader_1,Drive,Pedal Sensor,25.12
294,03-05-2022 00:50,Dozer_1,Fuel,Water in Fuel,6817.86
295,03-05-2022 01:00,Backhoe_Loader_1,Drive,Transmission Pressure,1682.25
296,03-05-2022 01:10,Dozer_1,Fuel,Fuel Level,2.82
297,03-05-2022 01:20,Backhoe_Loader_1,Drive,Transmission Pressure,225.84
298,03-05-2022 01:30,Backhoe_Loader_1,Fuel,Fuel Level,0.33
299,03-05-2022 01:40,Excavator_1,Engine,Speed,6121.54
300,03-05-2022 01:50,Excavator_1,Fuel,Fuel Level,2.17
301,03-05-2022 02:00,Articulated_Truck_1,Fuel,Fuel Level,2.35
302,03-05-2022 02:10,Dozer_1,Fuel,Fuel Level,1.4
303,03-05-2022 02:20,Backhoe_Loader_1,Engine,Oil Pressure,145.59
304,03-05-2022 02:30,Backhoe_Loader_1,Drive,Transmission Pressure,1217.37
305,03-05-2022 02:40,Excavator_1,Drive,Brake Control,2.63
306,03-05-2022 02:50,Articulated_Truck_1,Engine,Temparature,506.48
307,03-05-2022 03:00,Backhoe_Loader_1,Misc,Exhaust Gas Temparature,1556.16
308,03-05-2022 03:10,Dozer_1,Fuel,Fuel Level,4.94
309,03-05-2022 03:20,Excavator_1,Drive,Pedal Sensor,5.35
310,03-05-2022 03:30,Articulated_Truck_1,Misc,Exhaust Gas Temparature,1392.62
311,03-05-2022 03:40,Articulated_Truck_1,Fuel,Temparature,267.68
312,03-05-2022 03:50,Excavator_1,Misc,Hydraulic Pump Rate,196.96
313,03-05-2022 04:00,Excavator_1,Engine,Speed,1015.63
314,03-05-2022 04:10,Dozer_1,Fuel,Fuel Pressure,92.78
315,03-05-2022 04:20,Backhoe_Loader_1,Drive,Pedal Sensor,8.46
316,03-05-2022 04:30,Articulated_Truck_1,Drive,Brake Control,2.12
317,03-05-2022 04:40,Dozer_1,Fuel,Fuel Pressure,184.01
318,03-05-2022 04:50,Dozer_1,Fuel,Water in Fuel,4058.23
319,03-05-2022 05:00,Articulated_Truck_1,Engine,Oil Pressure,45.64
320,03-05-2022 05:10,Dozer_1,Engine,Speed,179.7
321,03-05-2022 05:20,Articulated_Truck_1,Drive,Pedal Sensor,8.79
322,03-05-2022 05:30,Dozer_1,Fuel,Fuel Level,2.97
323,03-05-2022 05:40,Articulated_Truck_1,Fuel,Fuel Level,1.81
324,03-05-2022 05:50,Dozer_1,Misc,Air Filter Pressure,2.38
325,03-05-2022 06:00,Backhoe_Loader_1,Engine,Oil Pressure,12.76
326,03-05-2022 06:10,Dozer_1,Drive,Transmission Pressure,1775.46
327,03-05-2022 06:20,Dozer_1,Fuel,Water in Fuel,1822.57
328,03-05-2022 06:30,Excavator_1,Misc,Hydraulic Pump Rate,341.46
329,03-05-2022 06:40,Articulated_Truck_1,Misc,Air Filter Pressure,6.61
330,03-05-2022 06:50,Backhoe_Loader_1,Drive,Pedal Sensor,26.33
331,03-05-2022 07:00,Excavator_1,Engine,Temparature,145.08
332,03-05-2022 07:10,Articulated_Truck_1,Engine,Temparature,578.94
333,03-05-2022 07:20,Backhoe_Loader_1,Fuel,Fuel Pressure,65.08
334,03-05-2022 07:30,Backhoe_Loader_1,Misc,System Voltage,55.64
335,03-05-2022 07:40,Articulated_Truck_1,Misc,Hydraulic Pump Rate,190.82
336,03-05-2022 07:50,Articulated_Truck_1,Fuel,Fuel Pressure,118.76
337,03-05-2022 08:00,Articulated_Truck_1,Fuel,Fuel Level,2.85
338,03-05-2022 08:10,Backhoe_Loader_1,Fuel,Temparature,563.78
339,03-05-2022 08:20,Backhoe_Loader_1,Drive,Brake Control,2.96
340,03-05-2022 08:30,Backhoe_Loader_1,Engine,Speed,4478.33
341,03-05-2022 08:40,Backhoe_Loader_1,Fuel,Water in Fuel,3116.46
342,03-05-2022 08:50,Backhoe_Loader_1,Fuel,Water in Fuel,3652.98
343,03-05-2022 09:00,Dozer_1,Engine,Speed,3358.23
344,03-05-2022 09:10,Articulated_Truck_1,Misc,Exhaust Gas Temparature,1462.51
345,03-05-2022 09:20,Excavator_1,Drive,Pedal Sensor,11.25
346,03-05-2022 09:30,Excavator_1,Fuel,Fuel Pressure,46.94
347,03-05-2022 09:40,Excavator_1,Engine,Oil Pressure,55.2
348,03-05-2022 09:50,Backhoe_Loader_1,Misc,Air Filter Pressure,12.59
349,03-05-2022 10:00,Dozer_1,Engine,Oil Pressure,35.1
350,03-05-2022 10:10,Excavator_1,Fuel,Fuel Level,1.4
351,03-05-2022 10:20,Backhoe_Loader_1,Engine,Speed,5848.72
352,03-05-2022 10:30,Dozer_1,Engine,Speed,2043.04
353,03-05-2022 10:40,Articulated_Truck_1,Misc,Hydraulic Pump Rate,264.29
354,03-05-2022 10:50,Articulated_Truck_1,Drive,Transmission Pressure,366.96
355,03-05-2022 11:00,Excavator_1,Engine,Temparature,642.55
356,03-05-2022 11:10,Excavator_1,Misc,Hydraulic Pump Rate,109.51
357,03-05-2022 11:20,Excavator_1,Fuel,Water in Fuel,192.09
358,03-05-2022 11:30,Excavator_1,Drive,Brake Control,2.17
359,03-05-2022 11:40,Articulated_Truck_1,Misc,System Voltage,91.34
360,03-05-2022 11:50,Backhoe_Loader_1,Misc,Exhaust Gas Temparature,811.25
